Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  3.73      1.19     1.19                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c)
                0.00    0.00     160/320         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:22179 @ b1fce) [17962]
[1440]   0.0    0.00    0.00     320         alglib_impl::_ialglib_mcopyblock(long, long, double const*, long, long, double*) (ap.cpp:9917 @ 24f60) [1440]
-----------------------------------------------
                0.00    0.00      20/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:66 @ 6f12) [1785]
                0.00    0.00      20/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:67 @ 7066) [1831]
                0.00    0.00      20/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:72 @ 7307) [1909]
                0.00    0.00      20/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:73 @ 745e) [1955]
                0.00    0.00      20/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:78 @ 76fb) [2033]
                0.00    0.00      20/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:79 @ 7852) [2079]
                0.00    0.00      20/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:84 @ 7b01) [2161]
                0.00    0.00      20/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:86 @ 7b11) [2162]
                0.00    0.00      40/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:85 @ 7b35) [2163]
                0.00    0.00      40/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:88 @ 7d64) [2228]
                0.00    0.00      40/280         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:87 @ 7d92) [2229]
[1441]   0.0    0.00    0.00     280         multipl(double, std::vector<double, std::allocator<double> >&) (operators.cpp:29 @ 12300) [1441]
-----------------------------------------------
                0.00    0.00      80/240         alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (solvers.cpp:5663 @ 409f0) [11836]
                0.00    0.00      80/240         memset (string_fortified.h:71 @ c3281) [969]
                0.00    0.00      80/240         alglib_impl::rmatrixlu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:26568 @ c3540) [40860]
[1442]   0.0    0.00    0.00     240         alglib_impl::ae_vector_clear(alglib_impl::ae_vector*) (ap.cpp:1440 @ 163f0) [1442]
-----------------------------------------------
                0.00    0.00      80/240         alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23134 @ b6a3c) [14071]
                0.00    0.00     160/240         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:20692 @ b1cb6) [17928]
[1443]   0.0    0.00    0.00     240         alglib_impl::matrixtilesizea(alglib_impl::ae_state*) (alglibinternal.cpp:3269 @ 60260) [1443]
-----------------------------------------------
                0.00    0.00      80/240         alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23142 @ b6a5e) [14074]
                0.00    0.00     160/240         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:20700 @ b1cde) [17931]
[1444]   0.0    0.00    0.00     240         alglib_impl::matrixtilesizeb(alglib_impl::ae_state*) (alglibinternal.cpp:3289 @ 60280) [1444]
-----------------------------------------------
                0.00    0.00      80/240         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9343 @ 35bff) [52557]
                0.00    0.00      80/240         alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:5889 @ 4062e) [14266]
                0.00    0.00      80/240         alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (solvers.cpp:5673 @ 40a39) [11840]
[1445]   0.0    0.00    0.00     240         alglib_impl::ae_matrix_set_length(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (ap.cpp:1697 @ 16cc0) [1445]
-----------------------------------------------
                0.00    0.00      80/160         alglib::_densesolverreport_owner::_densesolverreport_owner() (solvers.cpp:77 @ 38b10) [64668]
                0.00    0.00      80/160         alglib::rmatrixsolve(alglib::real_2d_array const&, long, alglib::real_1d_array const&, long&, alglib::densesolverreport&, alglib::real_1d_array&, alglib::xparams) (solvers.cpp:385 @ 40b66) [55243]
[1446]   0.0    0.00    0.00     160         alglib_impl::ae_state_init(alglib_impl::ae_state*) (ap.cpp:967 @ 15ac0) [1446]
-----------------------------------------------
                0.00    0.00      80/160         alglib::_densesolverreport_owner::_densesolverreport_owner() (solvers.cpp:97 @ 38bd9) [64682]
                0.00    0.00      80/160         alglib::rmatrixsolve(alglib::real_2d_array const&, long, alglib::real_1d_array const&, long&, alglib::densesolverreport&, alglib::real_1d_array&, alglib::xparams) (solvers.cpp:402 @ 40c6b) [55253]
[1447]   0.0    0.00    0.00     160         alglib_impl::ae_state_clear(alglib_impl::ae_state*) (ap.cpp:1034 @ 15b50) [1447]
-----------------------------------------------
                0.00    0.00      80/160         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9356 @ 35cb9) [52566]
                0.00    0.00      80/160         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9356 @ 35d98) [52577]
[1448]   0.0    0.00    0.00     160         alglib_impl::rcondthreshold(alglib_impl::ae_state*) (linalg.cpp:29693 @ c7ae0) [1448]
-----------------------------------------------
                0.00    0.00      80/160         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9316 @ 35b06) [52545]
                0.00    0.00      80/160         alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:10152 @ 4059e) [14259]
[1449]   0.0    0.00    0.00     160         alglib_impl::ae_matrix_clear(alglib_impl::ae_matrix*) (ap.cpp:1736 @ 16fb0) [1449]
-----------------------------------------------
                0.00    0.00      80/160         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9398 @ 35ede) [52602]
                0.00    0.00      80/160         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9399 @ 35f0e) [52603]
[1450]   0.0    0.00    0.00     160         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:20692 @ b1c80) [1450]
-----------------------------------------------
                0.00    0.00     160/160         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:22179 @ b1fce) [17962]
[1451]   0.0    0.00    0.00     160         alglib_impl::rmatrixlefttrsmf(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (alglibinternal.cpp:6417 @ 620d0) [1451]
-----------------------------------------------
                0.00    0.00     160/160         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:20734 @ b1d42) [17943]
[1452]   0.0    0.00    0.00     160         alglib_impl::rmatrixlefttrsmmkl(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (alglibinternal.cpp:5623 @ 61f30) [1452]
-----------------------------------------------
                0.00    0.00      80/160         alglib::_densesolverreport_owner::_densesolverreport_owner() (solvers.cpp:92 @ 38b90) [64675]
                0.00    0.00      80/160         alglib::rmatrixsolve(alglib::real_2d_array const&, long, alglib::real_1d_array const&, long&, alglib::densesolverreport&, alglib::real_1d_array&, alglib::xparams) (solvers.cpp:398 @ 40be0) [55247]
[1453]   0.0    0.00    0.00     160         alglib_impl::ae_state_set_break_jump(alglib_impl::ae_state*, __jmp_buf_tag (*) [1]) (ap.cpp:1046 @ 15bf0) [1453]
-----------------------------------------------
                0.00    0.00     160/160         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:22179 @ b1fce) [17962]
[1454]   0.0    0.00    0.00     160         alglib_impl::_ialglib_i_rmatrixlefttrsmf(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long) (ap.cpp:11335 @ 2a220) [1454]
-----------------------------------------------
                0.00    0.00      80/160         alglib_impl::rmatrixlurcond1(alglib_impl::ae_matrix*, long, alglib_impl::ae_state*) (linalg.cpp:29343 @ c6fbf) [18055]
                0.00    0.00      80/160         alglib_impl::rmatrixlurcondinf(alglib_impl::ae_matrix*, long, alglib_impl::ae_state*) (linalg.cpp:29376 @ c700c) [23901]
[1455]   0.0    0.00    0.00     160         alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30611 @ 842d0) [1455]
